Image,Caption,Rights
urn:cite:hcmid:bern219bifolioimgs.bern219_1v_2r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 1 verso and 2 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_2v_3r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 2 verso and 3 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_3v_4r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 3 verso and 4 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_4v_5r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 4 verso and 5 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_5v_6r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 5 verso and 6 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_6v_7r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 6 verso and 7 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_7v_8r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 7 verso and 8 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_8v_9r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 8 verso and 9 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_9v_10r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 9 verso and 10 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_10v_11r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 10 verso and 11 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_11v_12r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 11 verso and 12 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_12v_13r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 12 verso and 13 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_13v_14r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 13 verso and 14 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_14v_15r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 14 verso and 15 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_15v_16r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 15 verso and 16 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_16v_17r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 16 verso and 17 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_17v_18r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 17 verso and 18 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_18v_19r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 18 verso and 19 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_19v_20r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 19 verso and 20 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_20v_21r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 20 verso and 21 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_21v_22r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 21 verso and 22 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_22v_23r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 22 verso and 23 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_23v_24r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 23 verso and 24 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_24v_25r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 24 verso and 25 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_25v_26r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 25 verso and 26 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_26v_27r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 26 verso and 27 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_27v_28r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 27 verso and 28 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_28v_29r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 28 verso and 29 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_29v_30r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 29 verso and 30 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_30v_31r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 30 verso and 31 recto","This image is a composite created from images released to the public domain by the e-codices project."
urn:cite:hcmid:bern219bifolioimgs.bern219_31v_32r,"Bern, Burgerbibliothek, Cod. 219, bifolio spread of folios 31 verso and 32 recto","This image is a composite created from images released to the public domain by the e-codices project."
